source_id,k,n_systems,heldout_tasks,comp_panel,baseline_panel,panels_identical,delta_oracle,delta_oracle_ci_low,delta_oracle_ci_high,status
llmrouterbench_livecodebench,2,31,528,deepseek-r1-0528 | intern-s1-new,deepseek-r1-0528 | qwen3-235b-a22b-thinking-2507,False,-0.015152,-0.030303,0.0,inconclusive
llmrouterbench_livecodebench,3,31,528,deepseek-r1-0528 | intern-s1-new | qwen3-235b-a22b-2507,deepseek-r1-0528 | qwen3-235b-a22b-thinking-2507 | intern-s1-new,False,-0.013258,-0.024621,-0.001894,fail
mbpp_humaneval,2,20,569,Qwen2.5-Coder-7B-Instruct | Qwen3-8B,Qwen2.5-Coder-7B-Instruct | Fin-R1,False,-0.005272,-0.024605,0.012302,inconclusive
mbpp_humaneval,3,20,569,Qwen2.5-Coder-7B-Instruct | Qwen3-8B | internlm3-8b-instruct,Qwen2.5-Coder-7B-Instruct | Fin-R1 | glm-4-9b-chat,False,0.026362,0.005228,0.047496,pass
llmrouterbench_swebench,2,8,337,deepseek-r1-0528 | deepseek-v3.1-terminus,deepseek-r1-0528 | deepseek-v3.1-terminus,True,0.0,0.0,0.0,inconclusive
llmrouterbench_swebench,3,8,337,deepseek-r1-0528 | deepseek-v3.1-terminus | glm-4.6,deepseek-r1-0528 | deepseek-v3.1-terminus | kimi-k2-0905,False,-0.002967,-0.016667,0.042754,inconclusive
swe_verified,2,15,337,Skywork-SWE-32B + TTS(Bo8) [20250616_Skywork-SWE-32B+TTS_Bo8] | Lingxi v1.5 x Kimi K2 [20251014_Lingxi_kimi_k2],Lingxi v1.5 x Kimi K2 [20251014_Lingxi_kimi_k2] | EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B_tts],False,-0.011869,-0.113636,0.007092,inconclusive
swe_verified,3,15,337,MCTS-Refine-7B [20250627_agentless_MCTS-Refine-7B] | DeepSWE-Preview + TTS(Bo16) [20250629_deepswerl_r2eagent_tts] | Lingxi v1.5 x Kimi K2 [20251014_Lingxi_kimi_k2],Lingxi v1.5 x Kimi K2 [20251014_Lingxi_kimi_k2] | EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B_tts] | DeepSWE-Preview + TTS(Bo16) [20250629_deepswerl_r2eagent_tts],False,-0.008902,-0.084507,0.003263,inconclusive
terminalbench,2,20,45,terminus-2 :: glm-5@z-ai | terminus-2 :: minimax-m2.5@Minimax,terminus-2 :: glm-5@z-ai | terminus-2 :: kimi-k2.5@kimi,False,-0.012222,-0.045556,0.013333,inconclusive
terminalbench,3,20,45,openhands :: Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai | terminus-2 :: glm-5@z-ai | terminus-2 :: minimax-m2.5@Minimax,terminus-2 :: glm-5@z-ai | terminus-2 :: kimi-k2.5@kimi | terminus-2 :: minimax-m2.5@Minimax,False,-0.021111,-0.053333,0.0,inconclusive
