source_id,k,n_systems,heldout_tasks,v_panel,baseline_panel,panels_identical,heldout_delta_v,heldout_delta_v_ci_low,heldout_delta_v_ci_high,capture_sensitivity,status
llmrouterbench_livecodebench,2,31,528,deepseek-r1-0528 | intern-s1-new,deepseek-r1-0528 | qwen3-235b-a22b-thinking-2507,False,-0.010606,-0.021785,0.0,capture=0.5: same (deepseek-r1-0528; intern-s1-new); capture=0.9: same (deepseek-r1-0528; intern-s1-new),inconclusive
llmrouterbench_livecodebench,3,31,528,deepseek-r1-0528 | intern-s1-new | qwen3-235b-a22b-2507,deepseek-r1-0528 | qwen3-235b-a22b-thinking-2507 | intern-s1-new,False,-0.00928,-0.018561,-0.001326,capture=0.5: same (deepseek-r1-0528; intern-s1-new; qwen3-235b-a22b-2507); capture=0.9: same (deepseek-r1-0528; intern-s1-new; qwen3-235b-a22b-2507),fail
mbpp_humaneval,2,20,569,Qwen2.5-Coder-7B-Instruct | Qwen3-8B,Qwen2.5-Coder-7B-Instruct | Fin-R1,False,-0.003691,-0.017223,0.008612,capture=0.5: same (Qwen2.5-Coder-7B-Instruct; Qwen3-8B); capture=0.9: same (Qwen2.5-Coder-7B-Instruct; Qwen3-8B),inconclusive
mbpp_humaneval,3,20,569,Qwen2.5-Coder-7B-Instruct | Qwen3-8B | internlm3-8b-instruct,Qwen2.5-Coder-7B-Instruct | Fin-R1 | glm-4-9b-chat,False,0.018453,0.00366,0.033247,capture=0.5: same (Qwen2.5-Coder-7B-Instruct; Qwen3-8B; internlm3-8b-instruct); capture=0.9: same (Qwen2.5-Coder-7B-Instruct; Qwen3-8B; internlm3-8b-instruct),pass
llmrouterbench_swebench,2,8,337,deepseek-r1-0528 | deepseek-v3.1-terminus,deepseek-r1-0528 | deepseek-v3.1-terminus,True,0.0,0.0,0.0,capture=0.5: same (deepseek-r1-0528; deepseek-v3.1-terminus); capture=0.9: same (deepseek-r1-0528; deepseek-v3.1-terminus),selection agrees with baseline
llmrouterbench_swebench,3,8,337,deepseek-r1-0528 | deepseek-v3.1-terminus | glm-4.6,deepseek-r1-0528 | deepseek-v3.1-terminus | kimi-k2-0905,False,-0.002077,-0.013077,0.031678,capture=0.5: same (deepseek-r1-0528; deepseek-v3.1-terminus; glm-4.6); capture=0.9: same (deepseek-r1-0528; deepseek-v3.1-terminus; glm-4.6),inconclusive
swe_verified,2,15,337,Skywork-SWE-32B + TTS(Bo8) [20250616_Skywork-SWE-32B+TTS_Bo8] | Lingxi v1.5 x Kimi K2 [20251014_Lingxi_kimi_k2],Lingxi v1.5 x Kimi K2 [20251014_Lingxi_kimi_k2] | EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B_tts],False,-0.008309,-0.096591,0.004965,capture=0.5: same (Skywork-SWE-32B + TTS(Bo8) [20250616_Skywork-SWE-32B+TTS_Bo8]; Lingxi v1.5 x Kimi K2 [20251014_Lingxi_kimi_k2]); capture=0.9: same (Skywork-SWE-32B + TTS(Bo8) [20250616_Skywork-SWE-32B+TTS_Bo8]; Lingxi v1.5 x Kimi K2 [20251014_Lingxi_kimi_k2]),inconclusive
swe_verified,3,15,337,MCTS-Refine-7B [20250627_agentless_MCTS-Refine-7B] | DeepSWE-Preview + TTS(Bo16) [20250629_deepswerl_r2eagent_tts] | Lingxi v1.5 x Kimi K2 [20251014_Lingxi_kimi_k2],Lingxi v1.5 x Kimi K2 [20251014_Lingxi_kimi_k2] | EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct [20250901_entroPO_R2E_QwenCoder30BA3B_tts] | DeepSWE-Preview + TTS(Bo16) [20250629_deepswerl_r2eagent_tts],False,-0.006231,-0.088732,0.002284,capture=0.5: same (MCTS-Refine-7B [20250627_agentless_MCTS-Refine-7B]; DeepSWE-Preview + TTS(Bo16) [20250629_deepswerl_r2eagent_tts]; Lingxi v1.5 x Kimi K2 [20251014_Lingxi_kimi_k2]); capture=0.9: same (MCTS-Refine-7B [20250627_agentless_MCTS-Refine-7B]; DeepSWE-Preview + TTS(Bo16) [20250629_deepswerl_r2eagent_tts]; Lingxi v1.5 x Kimi K2 [20251014_Lingxi_kimi_k2]),inconclusive
terminalbench,2,20,45,terminus-2 :: glm-5@z-ai | terminus-2 :: minimax-m2.5@Minimax,terminus-2 :: glm-5@z-ai | terminus-2 :: kimi-k2.5@kimi,False,-0.008556,-0.031889,0.009333,capture=0.5: same (terminus-2 :: glm-5@z-ai; terminus-2 :: minimax-m2.5@Minimax); capture=0.9: same (terminus-2 :: glm-5@z-ai; terminus-2 :: minimax-m2.5@Minimax),inconclusive
terminalbench,3,20,45,openhands :: Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai | terminus-2 :: glm-5@z-ai | terminus-2 :: minimax-m2.5@Minimax,terminus-2 :: glm-5@z-ai | terminus-2 :: kimi-k2.5@kimi | terminus-2 :: minimax-m2.5@Minimax,False,-0.014778,-0.037333,0.0,capture=0.5: same (openhands :: Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai; terminus-2 :: glm-5@z-ai; terminus-2 :: minimax-m2.5@Minimax); capture=0.9: same (openhands :: Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai; terminus-2 :: glm-5@z-ai; terminus-2 :: minimax-m2.5@Minimax),inconclusive
