source_id,k,train_clusters,heldout_clusters,heldout_tasks,comp_panel,baseline_panel,delta_oracle,delta_oracle_ci_low,delta_oracle_ci_high,delta_headroom,greedy_vs_exhaustive_gap,status,split_leakage
swe_verified,2,6,6,337,JoyCode + Claude 4 Sonnet + GPT-4.1 [20250915_JoyCode] | TRAE + Doubao-Seed-Code [20250928_trae_doubao_seed_code],TRAE + Doubao-Seed-Code [20250928_trae_doubao_seed_code] | Sonar Foundation Agent + Claude 4.5 Opus [20251205_sonar-foundation-agent_claude-opus-4-5],-0.029674,-0.037383,-0.021127,-0.002967,0.0,fail,False
swe_verified,3,6,6,337,MCTS-Refine-7B [20250627_agentless_MCTS-Refine-7B] | JoyCode + Claude 4 Sonnet + GPT-4.1 [20250915_JoyCode] | TRAE + Doubao-Seed-Code [20250928_trae_doubao_seed_code],TRAE + Doubao-Seed-Code [20250928_trae_doubao_seed_code] | Sonar Foundation Agent + Claude 4.5 Opus [20251205_sonar-foundation-agent_claude-opus-4-5] | 20251127_openhands_claude-opus-4-5 [20251127_openhands_claude-opus-4-5],-0.038576,-0.056645,-0.0125,-0.011869,0.0,fail,False
swe_test,2,6,6,1395,Salesforce AI Research SAGE (bash-only) [20251027_salesforce_SAGE] | Sonar Foundation Agent + Claude 4.5 Opus [20251219_sonar-foundation-agent_claude-opus-4-5],Sonar Foundation Agent + Claude 4.5 Opus [20251219_sonar-foundation-agent_claude-opus-4-5] | Salesforce AI Research SAGE (bash-only) [20251027_salesforce_SAGE],0.0,0.0,0.0,0.0,0.0,inconclusive,False
swe_test,3,6,6,1395,SWE-agent 1.0 (Claude 3.7 Sonnet) [20250227_sweagent-claude-3-7-20250219] | Salesforce AI Research SAGE (bash-only) [20251027_salesforce_SAGE] | Sonar Foundation Agent + Claude 4.5 Opus [20251219_sonar-foundation-agent_claude-opus-4-5],Sonar Foundation Agent + Claude 4.5 Opus [20251219_sonar-foundation-agent_claude-opus-4-5] | Salesforce AI Research SAGE (bash-only) [20251027_salesforce_SAGE] | Atlassian Rovo Dev (2025-06-05) [20250605_atlassian-rovo-dev],-0.000717,-0.004697,0.012698,-0.000717,0.0,inconclusive,False
terminalbench,2,44,45,45,final :: claude-4.5-sonnet@anthropic | forge :: gemini-3.1-pro-preview@Google,Factory Droid :: gpt-5.3-codex@openai | forge :: gemini-3.1-pro-preview@Google,-0.017778,-0.08,0.049,-0.017778,0.031818,inconclusive,False
terminalbench,3,44,45,45,claude-code-enhanced :: claude-opus-4-6@anthropic | final :: claude-4.5-sonnet@anthropic | forge :: gemini-3.1-pro-preview@Google,Factory Droid :: gpt-5.3-codex@openai | forge :: gemini-3.1-pro-preview@Google | terminus-3-3 :: claude-opus-4-6@anthropic,-0.002963,-0.045926,0.054852,-0.002963,0.014773,inconclusive,False
llmrouterbench_livecodebench,2,527,528,528,deepseek-r1-0528 | gpt-5,gpt-5 | gemini-2.5-pro,0.003788,-0.007576,0.017045,0.003788,0.0,inconclusive,False
llmrouterbench_livecodebench,3,527,528,528,deepseek-r1-0528 | gemini-2.5-pro | gpt-5,gpt-5 | gemini-2.5-pro | deepseek-r1-0528,0.0,0.0,0.0,0.0,0.0,inconclusive,False
llmrouterbench_swebench,2,6,6,337,claude-opus-4.1 | gemini-2.5-pro,claude-opus-4.1 | claude-sonnet-4,0.029674,-0.045461,0.047151,0.029674,0.0,inconclusive,False
llmrouterbench_swebench,3,6,6,337,claude-opus-4.1 | deepseek-r1-0528 | gemini-2.5-pro,claude-opus-4.1 | claude-sonnet-4 | deepseek-r1-0528,0.029674,-0.008561,0.053846,0.029674,0.0,inconclusive,False
llmrouterbench_mbpp,2,486,487,487,Qwen2.5-Coder-7B-Instruct | Qwen3-8B,Qwen2.5-Coder-7B-Instruct | Fin-R1,0.004107,-0.014374,0.022587,0.004107,0.0,inconclusive,False
llmrouterbench_mbpp,3,486,487,487,Qwen2.5-Coder-7B-Instruct | Qwen3-8B | internlm3-8b-instruct,Qwen2.5-Coder-7B-Instruct | Fin-R1 | GLM-Z1-9B-0414,0.01232,-0.01232,0.036961,0.01232,0.0,inconclusive,False
llmrouterbench_humaneval,2,82,82,82,Fin-R1 | gpt-4.1,gpt-4.1 | Qwen2.5-Coder-7B-Instruct,-0.012195,-0.060976,0.036585,-0.012195,0.0,inconclusive,False
llmrouterbench_humaneval,3,82,82,82,Fin-R1 | GLM-Z1-9B-0414 | gpt-4.1,gpt-4.1 | Qwen2.5-Coder-7B-Instruct | Fin-R1,-0.012195,-0.060976,0.02439,-0.012195,0.0,inconclusive,False
